user_id,province,city
u0061,广东省,广州
u0088,浙江省,杭州
u0041,福建省,福州
u0143,福建省,泉州
u0079,浙江省,杭州
u0140,福建省,福州
u0016,福建省,福州
u0046,福建省,厦门
u0141,上海市,上海
u0019,上海市,上海
u0177,福建省,福州
u0137,福建省,泉州
u0047,福建省,福州
u0064,广东省,广州
u0051,福建省,厦门
u0017,福建省,泉州
u0174,福建省,福州
u0044,广东省,广州
u0063,福建省,泉州
u0034,福建省,厦门
u0182,上海市,上海
u0162,福建省,福州
u0109,福建省,泉州
u0078,福建省,厦门
u0135,福建省,厦门
u0197,福建省,福州
u0154,福建省,福州
u0022,福建省,泉州
u0181,浙江省,杭州
u0175,福建省,福州
u0074,上海市,上海
u0003,浙江省,杭州
u0184,福建省,福州
u0194,福建省,泉州
u0018,福建省,福州
u0033,上海市,上海
u0139,福建省,厦门
u0114,广东省,广州
u0168,浙江省,杭州
u0014,福建省,厦门
u0048,广东省,广州
u0136,福建省,厦门
u0072,上海市,上海
u0005,广东省,广州
u0090,上海市,上海
u0049,福建省,泉州
u0183,广东省,广州
u0196,福建省,泉州
u0200,广东省,广州
u0066,福建省,厦门
u0052,福建省,福州
u0190,浙江省,杭州
u0123,福建省,福州
u0128,浙江省,杭州
u0100,广东省,广州
u0058,福建省,福州
u0057,福建省,厦门
u0157,福建省,福州
u0164,上海市,上海
u0130,上海市,上海
u0085,福建省,厦门
u0192,浙江省,杭州
u0098,福建省,泉州
u0138,广东省,广州
u0187,福建省,厦门
u0054,福建省,泉州
u0020,福建省,福州
u0095,福建省,泉州
u0186,上海市,上海
u0007,福建省,泉州
u0199,福建省,泉州
u0075,福建省,泉州
u0170,广东省,广州
u0013,福建省,泉州
u0189,上海市,上海
u0178,福建省,厦门
u0149,福建省,泉州
u0146,广东省,广州
u0023,浙江省,杭州
u0037,福建省,福州
u0117,广东省,广州
u0195,福建省,泉州
u0050,福建省,厦门
u0159,上海市,上海
u0086,广东省,广州
u0113,浙江省,杭州
u0084,广东省,广州
u0145,广东省,广州
u0025,浙江省,杭州
u0172,福建省,泉州
u0076,福建省,厦门
u0038,福建省,泉州
u0029,福建省,福州
u0165,广东省,广州
u0169,浙江省,杭州
u0077,福建省,厦门
u0127,广东省,广州
u0163,福建省,泉州
u0068,上海市,上海
u0188,福建省,福州
u0104,上海市,上海
u0179,福建省,福州
u0167,浙江省,杭州
u0106,广东省,广州
u0065,福建省,厦门
u0092,上海市,上海
u0024,福建省,厦门
u0122,浙江省,杭州
u0153,上海市,上海
u0166,福建省,厦门
u0096,上海市,上海
u0099,福建省,厦门
u0185,福建省,厦门
u0115,福建省,泉州
u0031,福建省,泉州
u0011,浙江省,杭州
u0001,上海市,上海
u0171,上海市,上海
u0105,福建省,泉州
u0112,上海市,上海
u0158,福建省,厦门
u0150,福建省,福州
u0059,上海市,上海
u0010,福建省,厦门
u0161,福建省,福州
u0148,福建省,福州
u0032,上海市,上海
u0073,福建省,泉州
u0006,浙江省,杭州
u0036,福建省,福州
u0142,广东省,广州
u0132,广东省,广州
u0176,广东省,广州
u0069,上海市,上海
u0097,福建省,厦门
u0133,上海市,上海
u0193,浙江省,杭州
u0008,福建省,泉州
u0060,福建省,福州
u0089,广东省,广州
u0042,福建省,福州
u0144,福建省,泉州
u0040,广东省,广州
u0071,福建省,厦门
u0083,浙江省,杭州
u0009,福建省,泉州
u0004,广东省,广州
u0015,浙江省,杭州
u0067,上海市,上海
u0121,上海市,上海
u0053,福建省,厦门
u0180,福建省,厦门
u0012,福建省,福州
u0043,福建省,福州
u0110,浙江省,杭州
u0124,福建省,厦门
u0111,上海市,上海
u0094,福建省,泉州
u0160,广东省,广州
u0027,福建省,福州
u0055,浙江省,杭州
u0118,福建省,泉州
u0173,上海市,上海
u0070,上海市,上海
u0028,浙江省,杭州
u0108,福建省,泉州
u0103,福建省,泉州
u0151,广东省,广州
u0030,福建省,厦门
u0125,福建省,厦门
u0091,浙江省,杭州
u0021,福建省,福州
u0056,福建省,厦门
u0120,广东省,广州
u0045,福建省,厦门
u0155,福建省,厦门
u0129,福建省,泉州
u0102,广东省,广州
u0134,广东省,广州
u0035,上海市,上海
u0081,福建省,福州
u0002,福建省,泉州
u0119,福建省,福州
u0087,福建省,厦门
u0080,福建省,福州
u0191,广东省,广州
u0107,广东省,广州
u0116,上海市,上海
u0082,上海市,上海
u0126,上海市,上海
u0152,福建省,厦门
u0131,福建省,厦门
u0198,上海市,上海
u0039,浙江省,杭州
u0062,广东省,广州
u0101,浙江省,杭州
